OBJECTID,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_3409_LABEL,Shape__Area,Shape__Length
262,157069,DALGAN, ,MAYO,Maigh Eo,Connacht,528334.441197846,756370.996945055,2AE1962918D013A3E055000000000001,29040,157069,Dalgan,0.00478962874912,0.417786325434949
263,247108,TEMPLELUDIGAN, ,WEXFORD,Loch Garman,Leinster,681777.159606306,637274.005954916,2AE196291EE613A3E055000000000001,14087,247108,Templeludigan,0.002581877442005,0.23172414823965
264,237050,GREENPARK, ,WESTMEATH,An Iarmhí,Leinster,636368.834312219,751595.601234921,2AE196291BC413A3E055000000000001,13073,237050,Greenpark,0.002048003203545,0.308933977038337
265,267077,DUN LAOGHAIRE-WEST CENTRAL, ,DUBLIN,Baile Átha Cliath,Leinster,724050.542889579,728590.781434782,2AE196291D5913A3E055000000000001,05052,267077,Dún Laoghaire-West Central,6.2436884567e-05,0.039026440597304
266,127041,CASTLECONNELL,Caisleán Uí Chonaill,LIMERICK,Luimneach,Munster,567152.144697915,662648.45872054,2AE19629178013A3E055000000000001,21059,127041,Castleconnell,0.002971157945762,0.304040432869512
267,267111,PORTMARNOCK SOUTH, ,DUBLIN,Baile Átha Cliath,Leinster,723911.01218596,742611.370390612,2AE196291DFE13A3E055000000000001,04032,267111,Portmarnock South,0.000727941187956,0.170341001655535
268,267117,RATHFARNHAM VILLAGE, ,DUBLIN,Baile Átha Cliath,Leinster,714600.387864929,729238.875749046,2AE196291E0413A3E055000000000001,03026,267117,Rathfarnham Village,0.000104794937637,0.059747174860105
269,157020,BALLINDINE, ,MAYO,Maigh Eo,Connacht,537328.938525623,770823.787021518,2AE1962918CA13A3E055000000000001,29084,157020,Ballindine,0.003024611549745,0.41540607136783
270,57045,CROSS ROADS,Na Croisbhealaí,DONEGAL,Dún na nGall,Ulster,597537.875781866,927322.286844083,2AE1962920C213A3E055000000000001,33032,57045,Na Croisbhealaí,0.013254031602836,0.761518872886801
271,247090,NEW ROSS RURAL, ,WEXFORD,Loch Garman,Leinster,673084.784325162,627869.851332148,2AE196291EA213A3E055000000000001,14082,247090,New Ross Rural,0.002244088491865,0.303730337924074
